,graph,run,diameter,edge_density,nodes,edges
0,dolphins,0,3.0,1.9409879031104464,9,23
1,dolphins,1,2.0,1.8965361405396128,9,22
2,dolphins,2,3.0,1.9409879031104464,9,23
3,dolphins,3,2.0,1.8183725314817418,7,17
4,dolphins,4,2.0,1.8183725314817418,7,17
5,dolphins,5,2.0,1.3999016926266425,6,10
6,dolphins,6,2.0,1.9409879031104464,9,23
7,dolphins,7,2.0,1.3119131773484871,5,8
8,dolphins,8,2.0,1.9409879031104464,9,23
9,dolphins,9,2.0,1.3999016926266425,6,10
10,football,0,1.0,2.221469673450136,8,28
11,football,1,1.0,2.389012625637407,9,36
12,football,2,2.0,2.4199919575238296,10,40
13,football,3,1.0,2.389012625637407,9,36
14,football,4,2.0,2.067318993622878,8,24
15,football,5,1.0,2.2394808916664433,9,31
16,football,6,2.0,2.448411905507437,11,44
17,football,7,2.0,1.8965361405396128,9,22
18,football,8,2.0,2.2276200648763735,10,33
19,football,9,2.0,2.4199919575238296,10,40
20,email-EU-core,0,2.0,2.6107816045569963,12,55
21,email-EU-core,1,2.0,2.834986217915965,16,84
22,email-EU-core,2,2.0,2.9260166977590325,15,88
23,email-EU-core,3,2.0,2.813868278030694,14,75
24,email-EU-core,4,,2.744875406543743,14,70
25,email-EU-core,5,2.0,2.938307876377115,18,101
26,email-EU-core,6,2.0,2.818127735747847,15,79
27,email-EU-core,7,2.0,3.4702209740745067,26,221
28,email-EU-core,8,2.0,2.8842369484703565,17,92
29,email-EU-core,9,2.0,3.3230647502460764,19,154
30,C-elegans-frontal,0,2.0,2.063317013585097,10,28
31,C-elegans-frontal,1,2.0,1.9964267817643802,11,28
32,C-elegans-frontal,2,2.0,1.470065837213526,7,12
33,C-elegans-frontal,3,3.0,2.186967357780635,12,36
34,C-elegans-frontal,4,2.0,1.9409879031104464,9,23
35,C-elegans-frontal,5,2.0,2.0315181015756503,11,29
36,C-elegans-frontal,6,3.0,2.186967357780635,12,36
37,C-elegans-frontal,7,2.0,1.9835475175292425,9,24
38,C-elegans-frontal,8,3.0,2.0315181015756503,11,29
39,C-elegans-frontal,9,2.0,2.0999559807910053,12,33
40,amazon0302,0,0.0,0.0,1,0
41,amazon0302,1,0.0,0.0,1,0
42,amazon0302,2,0.0,0.0,1,0
43,amazon0302,3,0.0,0.0,1,0
44,amazon0302,4,0.0,0.0,1,0
45,amazon0302,5,0.0,0.0,1,0
46,amazon0302,6,0.0,0.0,1,0
47,amazon0302,7,0.0,0.0,1,0
48,amazon0302,8,0.0,0.0,1,0
49,amazon0302,9,0.0,0.0,1,0
