,graph,run,diameter,edge_density,nodes,edges
0,dolphins,0,2.0,1.8965361405396128,9,22
1,dolphins,1,2.0,1.8965361405396128,9,22
2,dolphins,2,2.0,1.8183725314817418,7,17
3,dolphins,3,3.0,1.8965361405396128,9,22
4,dolphins,4,2.0,1.8183725314817418,7,17
5,dolphins,5,2.0,1.9409879031104464,9,23
6,dolphins,6,2.0,1.8965361405396128,9,22
7,dolphins,7,2.0,1.8965361405396128,9,22
8,dolphins,8,2.0,1.3999016926266425,6,10
9,dolphins,9,2.0,1.3999016926266425,6,10
10,football,0,2.0,2.19684840620962,10,32
11,football,1,1.0,2.389012625637407,9,36
12,football,2,2.0,1.884997436828923,8,20
13,football,3,1.0,2.389012625637407,9,36
14,football,4,2.0,2.286460564899307,10,35
15,football,5,2.0,2.271229589981023,9,32
16,football,6,2.0,2.4199919575238296,10,40
17,football,7,2.0,2.3531017257031124,11,40
18,football,8,2.0,2.4199919575238296,10,40
19,football,9,2.0,2.2394808916664433,9,31
20,email-EU-core,0,2.0,2.7066468077964743,13,64
21,email-EU-core,1,3.0,2.5367477710010773,13,54
22,email-EU-core,2,2.0,2.416411599825521,9,37
23,email-EU-core,3,2.0,2.4952687174351516,12,49
24,email-EU-core,4,3.0,1.884997436828923,8,20
25,email-EU-core,5,2.0,2.5731154151719524,13,56
26,email-EU-core,6,,2.286460564899307,10,35
27,email-EU-core,7,3.0,2.638334625307251,15,66
28,email-EU-core,8,3.0,2.2276200648763735,10,33
29,email-EU-core,9,3.0,2.928357545523947,18,100
30,C-elegans-frontal,0,2.0,1.8500161249047198,9,21
31,C-elegans-frontal,1,2.0,2.1299581743889027,11,32
32,C-elegans-frontal,2,2.0,1.9835475175292425,9,24
33,C-elegans-frontal,3,2.0,1.9892090414313757,10,26
34,C-elegans-frontal,4,2.0,2.16509970789504,10,31
35,C-elegans-frontal,5,2.0,2.098209476074323,11,31
36,C-elegans-frontal,6,2.0,2.1299581743889027,11,32
37,C-elegans-frontal,7,2.0,1.9835475175292425,9,24
38,C-elegans-frontal,8,2.0,2.1299581743889027,11,32
39,C-elegans-frontal,9,2.0,2.285433342720171,13,42
40,amazon0302,0,,-1.83499824343003,1040,13
41,amazon0302,1,,-2.759992962504704,462,3
42,amazon0302,2,,-2.6867765067406904,414,3
43,amazon0302,3,,-3.452177258109235,710,2
44,amazon0302,4,,-1.8739448733362556,744,10
45,amazon0302,5,,-2.0497147164027063,693,8
46,amazon0302,6,,-1.3557531421170754,758,17
47,amazon0302,7,,-2.174862844112035,836,8
48,amazon0302,8,,-1.9007801544116938,1018,12
49,amazon0302,9,,-1.504936851513933,1120,19
