,graph,run,diameter,edge_density,nodes,edges
0,dolphins,0,2.0,1.8965361405396128,9,22
1,dolphins,1,2.0,1.8965361405396128,9,22
2,dolphins,2,3.0,1.9409879031104464,9,23
3,dolphins,3,2.0,1.9409879031104464,9,23
4,dolphins,4,3.0,1.9409879031104464,9,23
5,dolphins,5,3.0,1.9409879031104464,9,23
6,dolphins,6,2.0,1.8183725314817418,7,17
7,dolphins,7,3.0,1.8965361405396128,9,22
8,dolphins,8,2.0,1.8183725314817418,7,17
9,dolphins,9,3.0,1.8965361405396128,9,22
10,football,0,2.0,2.4597867298649487,13,50
11,football,1,1.0,2.389012625637407,9,36
12,football,2,1.0,2.389012625637407,9,36
13,football,3,1.0,2.389012625637407,9,36
14,football,4,2.0,2.2751401842334005,11,37
15,football,5,2.0,2.4199919575238296,10,40
16,football,6,1.0,2.389012625637407,9,36
17,football,7,1.0,2.389012625637407,9,36
18,football,8,1.0,2.389012625637407,9,36
19,football,9,2.0,2.2394808916664433,9,31
20,email-EU-core,0,2.0,2.879496682124139,15,84
21,email-EU-core,1,2.0,3.106393713437484,19,124
22,email-EU-core,2,2.0,2.878497064723134,13,76
23,email-EU-core,3,3.0,3.1592732457034813,21,140
24,email-EU-core,4,2.0,3.089836190133657,17,113
25,email-EU-core,5,2.0,2.8431290379532648,15,81
26,email-EU-core,6,2.0,2.867520491077424,15,83
27,email-EU-core,7,2.0,2.9595393897976754,15,91
28,email-EU-core,8,2.0,3.214843096858292,21,148
29,email-EU-core,9,2.0,2.824429843452858,13,72
30,C-elegans-frontal,0,2.0,1.8500161249047198,9,21
31,C-elegans-frontal,1,2.0,2.0984083333963675,10,29
32,C-elegans-frontal,2,2.0,2.397911326146861,13,47
33,C-elegans-frontal,3,2.0,2.098209476074323,11,31
34,C-elegans-frontal,4,2.0,1.9337876009983552,8,21
35,C-elegans-frontal,5,2.0,2.1299581743889027,11,32
36,C-elegans-frontal,6,2.0,2.1727895171677707,9,29
37,C-elegans-frontal,7,2.0,2.0984083333963675,10,29
38,C-elegans-frontal,8,2.0,2.026949369414223,10,27
39,C-elegans-frontal,9,3.0,2.1299581743889027,11,32
40,amazon0302,0,,-inf,52,0
41,amazon0302,1,,-inf,40,0
42,amazon0302,2,,-2.4094628171912014,53,1
43,amazon0302,3,,-inf,75,0
44,amazon0302,4,,-inf,50,0
45,amazon0302,5,,-inf,10,0
46,amazon0302,6,,-inf,12,0
47,amazon0302,7,,-inf,48,0
48,amazon0302,8,,-inf,42,0
49,amazon0302,9,,-inf,36,0
